Word,Predictions,Generated Words,Final Score (association detection accuracy),Count Words,If Only False Predictions,Predicted True Count,Success Out of True,Success Out of False
Bonobo,"{'monkey': False, 'chimpanzee': True, 'baboon': False, 'primate': True}","['primate', 'chimpanzee', 'pan_paniscus', 'congo', 'matriarchal']",100.00 %,4,50.00 %,2,100.00 %,100.00 %
Bear,"{'grizzly': True, 'teddy': True, 'ted': False, 'honey': True, 'pooh': True}","['honey', 'forest', 'hibernate', 'cub', 'paw']",40.00 %,5,80.00 %,4,25.00 %,100.00 %
Badger,"{'forest': True, 'marten': False, 'carnivore': True, 'predator': True}","['animal', 'burrow', 'nocturnal', 'digging', 'sett']",25.00 %,4,100.00 %,3,0.00 %,100.00 %
Bison,"{'cattle': True, 'bison': False, 'steppe': False, 'america': True}","['herd', 'plains', 'majestic', 'hooves', 'conservation']",50.00 %,4,100.00 %,2,0.00 %,100.00 %
Butterfly,"{'wings': True, 'flowers': True, 'colorful': True, 'meadow': False}","['wings', 'metamorphosis', 'flutter', 'pollination', 'caterpillar']",50.00 %,4,75.00 %,3,33.33 %,100.00 %
Anemonefish,"{'shark': False, 'sea': True, 'coral': True}","['clownfish', 'symbiosis', 'coral', 'stripes', 'nemo']",66.67 %,3,66.67 %,2,50.00 %,100.00 %
Anteater,"{'forest': False, 'tongue': True, 'long': True}","['insects', 'long tongue', 'snout', 'claws', 'mammal']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Alpaca,"{'south america': True, 'camel': True, 'llama': True, 'wool': True}","['llama', 'andes', 'wool', 'fleece', 'herd']",50.00 %,4,50.00 %,4,50.00 %,
Cheetah,"{'fast': True, 'mp/h': False, 'lion': False, 'africa': True, 'savannah': True}","['fast', 'spots', 'predator', 'savanna', 'agile']",60.00 %,5,80.00 %,3,33.33 %,100.00 %
Antelope,"{'hop': False, 'safari': True, 'lion': True}","['savanna', 'horns', 'swift', 'bovidae', 'grazing']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Chimpanzee,"{'monkey': True, 'human': True, 'intelligent': True, 'primate': True, 'orangutan': False}","['primate', 'intelligent', 'banana', 'social', 'endangered']",60.00 %,5,60.00 %,4,50.00 %,100.00 %
Bat,"{'ultrasonic': False, 'vampire': True, 'night': True, 'fly': True}","['nocturnal', 'echolocation', 'baseball', 'wings', 'vampire']",50.00 %,4,75.00 %,3,33.33 %,100.00 %
Chicken,"{'fox': False, 'bird': True, 'swan': False, 'eggs': True}","['egg', 'feathers', 'farm', 'poultry', 'cluck']",50.00 %,4,100.00 %,2,0.00 %,100.00 %
Chihuahua,"{'paris hilton': True, 'dog': True, 'small': True, 'foot horn': False}","['small', 'mexican', 'pointy ears', 'feisty', 'short-haired']",50.00 %,4,75.00 %,3,33.33 %,100.00 %
Coati,"{'tree': True, 'climbing': True, 'america': True}","['raccoon', 'nose', 'social', 'tropical', 'ringed-tail']",0.00 %,3,100.00 %,3,0.00 %,
Cow,"{'stable': False, 'milk': True, 'udder': True, 'milking': True, 'straw': False}","['milk', 'moo', 'farm', 'grass', 'herd']",60.00 %,5,80.00 %,3,33.33 %,100.00 %
Emu,"{'bird': True, 'ostrich': False, 'australia': True}","['flightless', 'australian', 'bird', 'long-legged', 'fast-running']",66.67 %,3,66.67 %,2,50.00 %,100.00 %
Cat,"{'pet': True, 'dog': False, 'meow': True, 'scratch': True, 'claws': True}","['whiskers', 'purr', 'feline', 'paws', 'claws']",40.00 %,5,80.00 %,4,25.00 %,100.00 %
Goat,"{'milk': True, 'stable': False, 'mountain': True, 'horns': True}","['horn', 'hoof', 'bleat', 'livestock', 'mountain']",50.00 %,4,75.00 %,3,33.33 %,100.00 %
Frog,"{'croak': True, 'water': True, 'toad': False}","['amphibian', 'pond', 'tadpole', 'ribbit', 'leap']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Fish,"{'water': True, 'swim': True, 'gills': True, 'whale': False, 'salmon': True}","['gills', 'scales', 'aquatic', 'school', 'fins']",40.00 %,5,80.00 %,4,25.00 %,100.00 %
Dog,"{'shepherd': False, 'friend': True, 'pet': True, 'bark': True, 'cat': False}","['loyal', 'bark', 'paws', 'leash', 'playful']",60.00 %,5,80.00 %,3,33.33 %,100.00 %
Giraffe,"{'neck': True, 'long': True, 'elephant': False, 'savannah': True, 'africa': True}","['long-necked', 'giraffa', 'spotted', 'african', 'browsers']",20.00 %,5,100.00 %,4,0.00 %,100.00 %
Fox,"{'red': True, 'fur': True, 'city': False, 'goose': False}","['clever', 'red', 'sly', 'wild', 'burrow']",75.00 %,4,75.00 %,2,50.00 %,100.00 %
Grizzly,"{'brown': True, 'kodiak': True, 'predator': True, 'north america': True}","['bear', 'fierce', 'wilderness', 'brown', 'predator']",50.00 %,4,50.00 %,4,50.00 %,
