Word,Predictions,Generated Words,Final Score,Count Words,Missed Predictions,Predicted True Count,Success Out of True,Success Out of False
Alpaca,"{'south america': True, 'camel': True, 'llama': True, 'wool': True}","['wool', 'fleece', 'andes', 'soft', 'herd']",25.00 %,4,75.00 %,4,25.00 %,
Anemonefish,"{'shark': False, 'sea': True, 'coral': True}","['clownfish', 'reef', 'symbiosis', 'sea', 'nemo']",66.67 %,3,66.67 %,2,50.00 %,100.00 %
Anteater,"{'forest': True, 'tongue': True, 'long': True}","['long', 'snout', 'insects', 'tongue', 'mammal']",66.67 %,3,33.33 %,3,66.67 %,
Antelope,"{'hop': True, 'safari': True, 'lion': False}","['graceful', 'savanna', 'herd', 'speed', 'horned']",33.33 %,3,100.00 %,2,0.00 %,100.00 %
Badger,"{'forest': True, 'marten': False, 'carnivore': True, 'predator': True}","['nocturnal', 'burrow', 'stripe', 'mammal', 'age']",25.00 %,4,100.00 %,3,0.00 %,100.00 %
Bat,"{'ultrasonic': True, 'vampire': True, 'night': True, 'fly': True}","['animal', 'baseball', 'nocturnal', 'wing', 'cave']",0.00 %,4,100.00 %,4,0.00 %,
Bear,"{'grizzly': True, 'teddy': True, 'ted': False, 'honey': True, 'pooh': True}","['hibernate', 'forest', 'grizzly', 'honey', 'cub']",60.00 %,5,60.00 %,4,50.00 %,100.00 %
Bison,"{'cattle': True, 'bison': True, 'steppe': True, 'america': True}","['mammal', 'grassland', 'herd', 'hooves', 'buffalo']",0.00 %,4,100.00 %,4,0.00 %,
Bonobo,"{'monkey': False, 'chimpanzee': True, 'baboon': False, 'primate': True}","['primate', 'peaceful', 'social', 'endangered', 'intelligent']",75.00 %,4,75.00 %,2,50.00 %,100.00 %
Butterfly,"{'wings': True, 'flowers': True, 'colorful': True, 'meadow': True}","['wings', 'flutter', 'transformation', 'colorful', 'delicate']",50.00 %,4,50.00 %,4,50.00 %,
Cat,"{'pet': True, 'dog': False, 'meow': True, 'scratch': True, 'claws': True}","['whiskers', 'purr', 'meow', 'paws', 'feline']",40.00 %,5,80.00 %,4,25.00 %,100.00 %
Cheetah,"{'fast': True, 'mp/h': False, 'lion': False, 'africa': True, 'savannah': True}","['fast', 'spotted', 'predator', 'sprint', 'wild']",60.00 %,5,80.00 %,3,33.33 %,100.00 %
Chicken,"{'fox': False, 'bird': True, 'swan': False, 'eggs': True}","['feathers', 'cluck', 'egg', 'farm', 'rooster']",50.00 %,4,100.00 %,2,0.00 %,100.00 %
Chihuahua,"{'paris hilton': False, 'dog': True, 'small': True, 'foot horn': False}","['small', 'energetic', 'loyal', 'feisty', 'cute']",75.00 %,4,75.00 %,2,50.00 %,100.00 %
Chimpanzee,"{'monkey': True, 'human': True, 'intelligent': True, 'primate': True, 'orangutan': False}","['primate', 'intelligent', 'social', 'curious', 'endangered']",60.00 %,5,60.00 %,4,50.00 %,100.00 %
