group_id,model,timestamp,response_received,tokens_returned,error_type,raw_response,extracted_ranking,parsing_status,reprocess_successful
MMLU_ARRANGED_GROUP_131,o4-mini-2025-04-16,20250709_113751,True,486,SUCCESS,"{""ranking"": [""Q1"", ""Q2"", ""Q3"", ""Q4""]}","Q1,Q2,Q3,Q4",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_132,o4-mini-2025-04-16,20250709_113751,True,550,SUCCESS,"{""ranking"": [""Q4"", ""Q1"", ""Q2"", ""Q3""]}","Q4,Q1,Q2,Q3",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_135,o4-mini-2025-04-16,20250709_113751,True,806,SUCCESS,"{""ranking"": [""Q4"", ""Q1"", ""Q3"", ""Q2""]}","Q4,Q1,Q3,Q2",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_136,o4-mini-2025-04-16,20250709_113751,True,486,SUCCESS,"{""ranking"": [""Q1"", ""Q3"", ""Q2"", ""Q4""]}","Q1,Q3,Q2,Q4",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_139,o4-mini-2025-04-16,20250709_113751,True,358,SUCCESS,"{""ranking"": [""Q1"", ""Q3"", ""Q4"", ""Q2""]}","Q1,Q3,Q4,Q2",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_140,o4-mini-2025-04-16,20250709_113751,True,422,SUCCESS,"{""ranking"": [""Q1"", ""Q3"", ""Q2"", ""Q4""]}","Q1,Q3,Q2,Q4",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_144,o4-mini-2025-04-16,20250709_113751,True,678,SUCCESS,"{""ranking"": [""Q3"", ""Q1"", ""Q2"", ""Q4""]}","Q3,Q1,Q2,Q4",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_147,o4-mini-2025-04-16,20250709_113751,True,678,SUCCESS,"{""ranking"": [""Q2"", ""Q4"", ""Q3"", ""Q1""]}","Q2,Q4,Q3,Q1",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_148,o4-mini-2025-04-16,20250709_113751,True,422,SUCCESS,"{""ranking"": [""Q1"", ""Q4"", ""Q2"", ""Q3""]}","Q1,Q4,Q2,Q3",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_150,o4-mini-2025-04-16,20250709_113751,True,550,SUCCESS,"{""ranking"": [""Q3"", ""Q2"", ""Q4"", ""Q1""]}","Q3,Q2,Q4,Q1",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_151,o4-mini-2025-04-16,20250709_113751,True,486,SUCCESS,"{""ranking"": [""Q1"", ""Q4"", ""Q2"", ""Q3""]}","Q1,Q4,Q2,Q3",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_152,o4-mini-2025-04-16,20250709_113751,True,486,SUCCESS,"{""ranking"": [""Q4"", ""Q2"", ""Q3"", ""Q1""]}","Q4,Q2,Q3,Q1",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_155,o4-mini-2025-04-16,20250709_113751,True,998,SUCCESS,"{""ranking"": [""Q1"", ""Q2"", ""Q3"", ""Q4""]}","Q1,Q2,Q3,Q4",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_156,o4-mini-2025-04-16,20250709_113751,True,870,SUCCESS,"{""ranking"": [""Q3"", ""Q1"", ""Q2"", ""Q4""]}","Q3,Q1,Q2,Q4",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_159,o4-mini-2025-04-16,20250709_113751,True,742,SUCCESS,"{""ranking"": [""Q2"", ""Q1"", ""Q3"", ""Q4""]}","Q2,Q1,Q3,Q4",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_160,o4-mini-2025-04-16,20250709_113751,True,422,SUCCESS,"{""ranking"": [""Q2"", ""Q1"", ""Q4"", ""Q3""]}","Q2,Q1,Q4,Q3",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_162,o4-mini-2025-04-16,20250709_113751,True,870,SUCCESS,"{""ranking"": [""Q2"", ""Q3"", ""Q1"", ""Q4""]}","Q2,Q3,Q1,Q4",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_163,o4-mini-2025-04-16,20250709_113751,True,934,SUCCESS,"{""ranking"": [""Q3"", ""Q2"", ""Q1"", ""Q4""]}","Q3,Q2,Q1,Q4",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_164,o4-mini-2025-04-16,20250709_113751,True,486,SUCCESS,"{""ranking"": [""Q1"", ""Q2"", ""Q3"", ""Q4""]}","Q1,Q2,Q3,Q4",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_166,o4-mini-2025-04-16,20250709_113751,True,614,SUCCESS,"{""ranking"": [""Q3"", ""Q1"", ""Q2"", ""Q4""]}","Q3,Q1,Q2,Q4",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_167,o4-mini-2025-04-16,20250709_113751,True,870,SUCCESS,"{""ranking"": [""Q1"", ""Q2"", ""Q3"", ""Q4""]}","Q1,Q2,Q3,Q4",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_168,o4-mini-2025-04-16,20250709_113751,True,998,SUCCESS,"{""ranking"": [""Q3"", ""Q4"", ""Q1"", ""Q2""]}","Q3,Q4,Q1,Q2",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_170,o4-mini-2025-04-16,20250709_113751,True,486,SUCCESS,"{""ranking"": [""Q3"", ""Q4"", ""Q1"", ""Q2""]}","Q3,Q4,Q1,Q2",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_171,o4-mini-2025-04-16,20250709_113751,True,358,SUCCESS,"{""ranking"": [""Q1"", ""Q3"", ""Q4"", ""Q2""]}","Q1,Q3,Q4,Q2",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_172,o4-mini-2025-04-16,20250709_113751,True,358,SUCCESS,"{""ranking"": [""Q3"", ""Q2"", ""Q1"", ""Q4""]}","Q3,Q2,Q1,Q4",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_175,o4-mini-2025-04-16,20250709_113751,True,806,SUCCESS,"{""ranking"": [""Q2"", ""Q1"", ""Q4"", ""Q3""]}","Q2,Q1,Q4,Q3",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_176,o4-mini-2025-04-16,20250709_113751,True,742,SUCCESS,"{""ranking"": [""Q3"", ""Q2"", ""Q1"", ""Q4""]}","Q3,Q2,Q1,Q4",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_177,o4-mini-2025-04-16,20250709_113751,True,550,SUCCESS,"{""ranking"": [""Q3"", ""Q1"", ""Q2"", ""Q4""]}","Q3,Q1,Q2,Q4",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_178,o4-mini-2025-04-16,20250709_113751,True,486,SUCCESS,"{""ranking"": [""Q4"", ""Q3"", ""Q2"", ""Q1""]}","Q4,Q3,Q2,Q1",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_179,o4-mini-2025-04-16,20250709_113751,True,294,SUCCESS,"{""ranking"": [""Q1"", ""Q4"", ""Q2"", ""Q3""]}","Q1,Q4,Q2,Q3",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_180,o4-mini-2025-04-16,20250709_113751,True,742,SUCCESS,"{""ranking"": [""Q1"", ""Q3"", ""Q4"", ""Q2""]}","Q1,Q3,Q4,Q2",JSON_SUCCESS,True
MMLU_ARRANGED_GROUP_181,o4-mini-2025-04-16,20250709_113751,True,998,SUCCESS,"{""ranking"": [""Q4"", ""Q2"", ""Q3"", ""Q1""]}","Q4,Q2,Q3,Q1",JSON_SUCCESS,True
