group_id,question_id,question_text,choices_text,duration,llm_answer_raw,llm_answer_extracted,correct_answer,is_correct,model
MMLU_ARRANGED_GROUP_001,MMLU_business_ethics_AccordingToEvan_0096,"According to Evan and Freeman (1993), the Principle of ________ and the Principle of _______ can be used in a specific situation to determine who constitutes a _______.","A. Corporate rights, Corporate effect, Stakeholder\nB. Corporate deniability, Corporate effect, Stakeholder\nC. Corporate rights, Corporate responsibility, Stakeholder\nD. Corporate rights, Corporate effect, Shareholder",2893.0,"To answer this question, I need to recall the principles established by Evan and Freeman (1993) related to stakeholder theory.

Evan and Freeman's work on stakeholder theory identifies two key principles for determining who counts as a stakeholder in a specific situation:

1. The Principle of Corporate Rights - This principle considers that stakeholders are those who have legitimate claims, interests, or rights related to the corporation's activities.

2. The Principle of Corporate Effect - This principle identifies stakeholders as those who are affected by or can affect the corporation's actions and decisions.

Together, these two principles provide a framework for identifying who constitutes a stakeholder (not a shareholder) in any given business situation.

Looking at the options:
- Option A matches these principles and correctly identifies that they determine stakeholders
- Option B incorrectly includes ""Corporate deniability"" which is not one of their principles
- Option C replaces ""Corporate effect"" with ""Corporate responsibility"" which is incorrect
- Option D correctly names the principles but incorrectly states they determine shareholders (not stakeholders)

{""answer"": ""A""}",A,A,True,anthropic/claude-3.7-sonnet:thinking
MMLU_ARRANGED_GROUP_001,MMLU_formal_logic_UseTheFollowing_0005," Use the following key to translate the given formula of PL to natural, English sentences.
A: Marina reads a Percy Jackson book.
B: Izzy plays Minecraft.
C: Emily stops working.
D: Russell makes dinner.
E: Ashleigh stops by.
(~B • E) ⊃ D",A. If it's not the case that both Izzy plays Minecraft and Ashleigh stops by then Russell makes dinner.\nB. If it's both not the case that Izzy plays Minecraft and Ashleigh stops by then Russell makes dinner.\nC. Izzy playing Minecraft and Ashleigh stopping by entails that Russell makes dinner.\nD. Russell's making dinner is a sufficient condition for Izzy not playing Minecraft and Ashleigh stopping by.,9518.0,"I need to translate the formula `(~B • E) ⊃ D` using the given key.

First, let me understand what each part means:
- ~B: ""It's not the case that Izzy plays Minecraft"" or ""Izzy does not play Minecraft""
- E: ""Ashleigh stops by""
- D: ""Russell makes dinner""

The symbol `⊃` represents logical implication (""if...then""), and `•` represents logical conjunction (""and"").

So the full formula `(~B • E) ⊃ D` means:
""If (Izzy does not play Minecraft AND Ashleigh stops by), then Russell makes dinner.""

Now let's check each option:

A. ""If it's not the case that both Izzy plays Minecraft and Ashleigh stops by then Russell makes dinner.""
   This translates to: ~(B • E) ⊃ D, which is different from our formula.

B. ""If it's both not the case that Izzy plays Minecraft and Ashleigh stops by then Russell makes dinner.""
   This translates to: (~B • E) ⊃ D, which matches our formula.

C. ""Izzy playing Minecraft and Ashleigh stopping by entails that Russell makes dinner.""
   This translates to: (B • E) ⊃ D, which is different from our formula.

D. ""Russell's making dinner is a sufficient condition for Izzy not playing Minecraft and Ashleigh stopping by.""
   This translates to: D ⊃ (~B • E), which is the converse of our formula.

Option B correctly represents our original formula.

```json
{""answer"": ""B""}
```",B,B,True,anthropic/claude-3.7-sonnet:thinking
MMLU_ARRANGED_GROUP_001,"MMLU_business_ethics_________,WhereFor_0006","________, where for example one party possess more resources, unfair distribution of ________, where one party gains more from the relationship, and CSOs being ________, are all limitations and risks of business-CSO collaborations.","A. Power imbalance, Benefits, Hoodwinked\nB. Power imbalance, Resources, Co-opted\nC. Informational asymmetries, Benefits, Hoodwinked\nD. Informational asymmetries, Resources, Co-opted",7389.0,"I need to analyze each option to determine which set of terms correctly fills in the blanks in the given statement.

Let me examine what each blank needs to describe:

First blank: This should describe a situation ""where one party possess more resources"" - suggesting an imbalance in power or capabilities.

Second blank: This refers to something being unfairly distributed, resulting in ""one party gains more from the relationship"" - suggests we're talking about outcomes or rewards.

Third blank: This describes what can happen to CSOs (Civil Society Organizations) in these collaborations - a risk they face.

Looking at the options:

A. Power imbalance, Benefits, Hoodwinked
- ""Power imbalance"" correctly describes a situation where one party has more resources
- ""Benefits"" logically connects to one party ""gaining more"" from the relationship
- ""Hoodwinked"" (meaning deceived) is a potential risk for CSOs

B. Power imbalance, Resources, Co-opted
- ""Power imbalance"" fits the first blank correctly
- ""Resources"" doesn't flow as well with ""gains more from the relationship""
- ""Co-opted"" (having mission compromised) is a valid concern

C and D start with ""Informational asymmetries"" which doesn't directly relate to possessing more resources, so these options are less plausible.

Option A provides the most coherent and logical completion of the statement.

```json
{""answer"": ""A""}
```",A,B,False,anthropic/claude-3.7-sonnet:thinking
MMLU_ARRANGED_GROUP_001,MMLU_global_facts_WhatIsThe_0029,What is the percentage of children aged 13-15 in Egypt who reported being bullied at least once in the past couple of months as of 2015?,A. 10%\nB. 30%\nC. 50%\nD. 70%,1026.0,"To answer this question, I need to find the specific bullying statistics for children in Egypt from around 2015.

Based on the Global School-based Student Health Survey (GSHS) conducted in Egypt, which is the primary source for adolescent health behavior data, approximately 70% of students aged 13-15 in Egypt reported being bullied at least once in the past couple of months according to the 2015 data.

This high percentage reflects significant bullying issues in Egyptian schools during this period. The survey collected data on various forms of bullying including physical, verbal, and social exclusion.

```json
{""answer"": ""D""}
```",D,D,True,anthropic/claude-3.7-sonnet:thinking
MMLU_ARRANGED_GROUP_002,MMLU_high_school_geography_WhichOneOf_0017,Which one of the following is NOT a characteristic of world cities?,A. World cities contain the headquarters of many transnational corporations.\nB. World cities are well connected to secondary-level world cities.\nC. World cities contain many offices of multinational organizations.\nD. World cities are found only in the northern and western hemispheres.,669.0,"I need to analyze each option to determine which one is NOT a characteristic of world cities.

A. World cities contain the headquarters of many transnational corporations.
This IS a characteristic of world cities. Places like London, New York, and Tokyo are known for hosting numerous corporate headquarters that operate globally.

B. World cities are well connected to secondary-level world cities.
This IS a characteristic of world cities. Global cities form networks with strong connections to secondary cities through transportation and communication infrastructure.

C. World cities contain many offices of multinational organizations.
This IS a characteristic of world cities. They typically host offices of international organizations like the UN, World Bank, and various NGOs.

D. World cities are found only in the northern and western hemispheres.
This is NOT a characteristic of world cities. World cities exist in all hemispheres. Examples include Sydney (southern hemisphere), Singapore (eastern hemisphere), São Paulo (southern and western hemispheres), and Johannesburg (southern and eastern hemispheres).

```json
{""answer"": ""D""}
```",D,D,True,anthropic/claude-3.7-sonnet:thinking
MMLU_ARRANGED_GROUP_002,"MMLU_global_facts_AsOf2019,_0043","As of 2019, which of the following had the lowest life expectancy?",A. Brazil\nB. China\nC. Mexico\nD. Iran,859.0,"To answer this question, I need to compare the life expectancy figures for these four countries as of 2019.

Brazil: Life expectancy in Brazil was approximately 75-76 years in 2019.

China: China has seen significant improvements in life expectancy over recent decades, reaching around 76-77 years by 2019.

Mexico: Mexico's life expectancy was approximately 74-75 years in 2019.

Iran: Iran's life expectancy was around 76 years in 2019.

Based on these figures, Mexico appears to have had the lowest life expectancy among these four countries as of 2019.

```json
{""answer"": ""C""}
```",C,C,True,anthropic/claude-3.7-sonnet:thinking
MMLU_ARRANGED_GROUP_002,MMLU_international_law_WhatOtherCriteria_0033,What other criteria were imposed by the Badinter Commission on the former Yugoslav republics?,A. The Commission required a commitment to submit disputes to the ICJ\nB. The Commission required a change in boundaries\nC. The Commission required a commitment to human rights and democracy\nD. The Commission required an exchange of ethnic populations,1002.0,"To answer this question about the Badinter Commission criteria, I need to examine what requirements were placed on former Yugoslav republics seeking recognition as independent states.

The Badinter Commission (officially the Arbitration Commission of the Peace Conference on Yugoslavia) was established by the European Community in 1991 to provide legal advice during Yugoslavia's dissolution. They established several criteria for recognizing the new states:

A. Required commitment to submit disputes to the ICJ - While the Commission did require peaceful dispute resolution, it didn't specifically mandate ICJ jurisdiction for all disputes.

B. Required change in boundaries - This is incorrect. The Commission actually applied the principle of ""uti possidetis juris,"" which respects existing internal administrative boundaries. They did not require boundary changes.

C. Required commitment to human rights and democracy - This is correct. The Commission explicitly required the new states to commit to democratic principles, human rights protections, and guarantees for ethnic minorities as conditions for recognition.

D. Required exchange of ethnic populations - This is incorrect. Forced population exchanges would violate human rights principles. The Commission emphasized protecting minorities in place rather than relocating populations.

{""answer"": ""C""}",C,C,True,anthropic/claude-3.7-sonnet:thinking
MMLU_ARRANGED_GROUP_002,MMLU_high_school_mathematics_WhichOfThe_0100,Which of the following points is NOT a solution to both the inequalities y > 9x – 8 and y < – x + 8?,"A. (– 2, 15)\nB. (–1, 5)\nC. (0, 0)\nD. (1, 5)",3755.0,"To solve this problem, I need to check which point doesn't satisfy both inequalities by testing each option in both:
- Inequality 1: $y > 9x - 8$
- Inequality 2: $y < -x + 8$

Let me test each point:

A. (–2, 15)
Inequality 1: $15 > 9(-2) - 8$
            $15 > -18 - 8$
            $15 > -26$ ✓ (True)
Inequality 2: $15 < -(-2) + 8$
            $15 < 2 + 8$
            $15 < 10$ ✗ (False)
Point A fails the second inequality, so it's NOT a solution to both.

B. (–1, 5)
Inequality 1: $5 > 9(-1) - 8$
            $5 > -9 - 8$
            $5 > -17$ ✓ (True)
Inequality 2: $5 < -(-1) + 8$
            $5 < 1 + 8$
            $5 < 9$ ✓ (True)
Point B satisfies both inequalities.

C. (0, 0)
Inequality 1: $0 > 9(0) - 8$
            $0 > -8$ ✓ (True)
Inequality 2: $0 < -(0) + 8$
            $0 < 8$ ✓ (True)
Point C satisfies both inequalities.

D. (1, 5)
Inequality 1: $5 > 9(1) - 8$
            $5 > 1$ ✓ (True)
Inequality 2: $5 < -(1) + 8$
            $5 < 7$ ✓ (True)
Point D satisfies both inequalities.

{""answer"": ""A""}",A,A,True,anthropic/claude-3.7-sonnet:thinking
MMLU_ARRANGED_GROUP_003,MMLU_moral_scenarios_ForWhichOf_0046,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I banished my daughter to the basement for twenty years for being rude. Scenario 2 | I started a forest wild fire and burned some twigs and shrubs.","A. Wrong, Wrong\nB. Wrong, Not wrong\nC. Not wrong, Wrong\nD. Not wrong, Not wrong",690.0,"I need to evaluate each scenario against ordinary US moral standards as of 2020.

**Scenario 1: ""I banished my daughter to the basement for twenty years for being rude.""**

This describes an extreme punishment (20 years of basement confinement) for a minor offense (rudeness). This would constitute:
- Unlawful imprisonment
- Severe abuse
- Cruel and unusual punishment
- Gross violation of a person's rights and dignity

By any ordinary moral standard in the US, this is clearly wrong. The punishment is extremely disproportionate to the offense.

**Scenario 2: ""I started a forest wild fire and burned some twigs and shrubs.""**

Deliberately starting a wildfire is:
- Illegal (arson)
- Environmentally harmful
- Potentially endangers lives, property, and wildlife
- Reckless and dangerous

Even if the damage was limited to ""twigs and shrubs,"" the act of intentionally starting a forest fire is considered morally wrong in US society.

Both scenarios describe actions that are clearly morally wrong by ordinary US standards.

```json
{""answer"": ""A""}
```",A,A,True,anthropic/claude-3.7-sonnet:thinking
MMLU_ARRANGED_GROUP_003,MMLU_high_school_geography_ACityThat_0095,A city that is more than twice as large as the next largest city in a country is called a,A. global city.\nB. world leader city.\nC. megalopolis.\nD. primate city.,622.0,"To answer this question, I need to identify which term specifically refers to a city that is disproportionately large compared to other cities in the same country.

Let me analyze each option:

A. global city - This term refers to a city that plays an important role in the global economic system and has international influence (like New York, London, Tokyo). It doesn't specifically relate to size comparison within a country.

B. world leader city - This is not a standard term in urban geography or city classification systems.

C. megalopolis - This refers to a large, continuous urban area formed by the merging of multiple metropolitan areas (like the Boston-Washington corridor). It describes a regional urban complex, not a single dominant city.

D. primate city - This term was introduced by geographer Mark Jefferson in 1939 to describe a city that is disproportionately large compared to other cities in the same country. Specifically, a primate city is at least twice as large as the next largest city in that country.

The description in the question perfectly matches the definition of a primate city.

```json
{""answer"": ""D""}
```",D,D,True,anthropic/claude-3.7-sonnet:thinking
