group_id,question_id,question_text,choices_text,duration,llm_answer_raw,llm_answer_extracted,correct_answer,is_correct,model
MMLU_ARRANGED_GROUP_001,MMLU_global_facts_WhatIsThe_0029,What is the percentage of children aged 13-15 in Egypt who reported being bullied at least once in the past couple of months as of 2015?,A. 10%\nB. 30%\nC. 50%\nD. 70%,148,"To answer this question, I need to recall or deduce the percentage of children aged 13-15 in Egypt who reported being bullied at least once in the past couple of months as of 2015. The options are 10%, 30%, 50%, and 70%.

From UNICEF and WHO reports on global school-based student health surveys, Egypt has been noted to have a relatively high prevalence of bullying among adolescents. Specifically, the 2015 Global School-based Student Health Survey (GSHS) for Egypt reported that about half of students aged 13-15 experienced bullying at least once in the past couple of months.

Given the options, 50% matches this statistic.

{
  ""answer"": ""C""
}",C,D,False,gpt-4.1-2025-04-14
MMLU_ARRANGED_GROUP_001,"MMLU_business_ethics_________,WhereFor_0006","________, where for example one party possess more resources, unfair distribution of ________, where one party gains more from the relationship, and CSOs being ________, are all limitations and risks of business-CSO collaborations.","A. Power imbalance, Benefits, Hoodwinked\nB. Power imbalance, Resources, Co-opted\nC. Informational asymmetries, Benefits, Hoodwinked\nD. Informational asymmetries, Resources, Co-opted",417,"Let's break down the sentence and the options:

The sentence is:
________, where for example one party possess more resources, unfair distribution of ________, where one party gains more from the relationship, and CSOs being ________, are all limitations and risks of business-CSO collaborations.

Let's analyze each blank:

1. The first blank: ""________, where for example one party possess more resources""
- The phrase ""one party possess more resources"" suggests a power imbalance, as one party having more resources gives them more power in the relationship.

2. The second blank: ""unfair distribution of ________, where one party gains more from the relationship""
- If one party gains more, it's an unfair distribution of benefits, not resources (since resources are what they start with, benefits are what they get out of it).

3. The third blank: ""CSOs being ________""
- The context is about risks and limitations. ""Co-opted"" means being taken over or manipulated, which fits the context. ""Hoodwinked"" means deceived, but ""co-opted"" is the more common term in this context.

Now, let's check the options:

A. Power imbalance, Benefits, Hoodwinked
B. Power imbalance, Resources, Co-opted
C. Informational asymmetries, Benefits, Hoodwinked
D. Informational asymmetries, Resources, Co-opted

- A: First and second blanks are correct, but ""Hoodwinked"" is less precise than ""Co-opted"".
- B: First and third blanks are correct, but ""Resources"" is not the right word for the second blank.
- C: ""Informational asymmetries"" is not the best fit for the first blank, and ""Hoodwinked"" is less precise.
- D: ""Informational asymmetries"" is not the best fit for the first blank, and ""Resources"" is not the right word for the second blank.

Therefore, the best answer is A.

```json
{""answer"": ""A""}
```",A,B,False,gpt-4.1-2025-04-14
MMLU_ARRANGED_GROUP_001,MMLU_formal_logic_UseTheFollowing_0005," Use the following key to translate the given formula of PL to natural, English sentences.
A: Marina reads a Percy Jackson book.
B: Izzy plays Minecraft.
C: Emily stops working.
D: Russell makes dinner.
E: Ashleigh stops by.
(~B • E) ⊃ D",A. If it's not the case that both Izzy plays Minecraft and Ashleigh stops by then Russell makes dinner.\nB. If it's both not the case that Izzy plays Minecraft and Ashleigh stops by then Russell makes dinner.\nC. Izzy playing Minecraft and Ashleigh stopping by entails that Russell makes dinner.\nD. Russell's making dinner is a sufficient condition for Izzy not playing Minecraft and Ashleigh stopping by.,305,"Let's break down the formula:  
(~B • E) ⊃ D

- ~B: It is not the case that Izzy plays Minecraft.
- E: Ashleigh stops by.
- (~B • E): It is not the case that Izzy plays Minecraft AND Ashleigh stops by.
- ⊃: If ... then ...
- D: Russell makes dinner.

So, the formula says:  
If (it is not the case that Izzy plays Minecraft AND Ashleigh stops by), then Russell makes dinner.

Now, let's look at the options:

A. If it's not the case that both Izzy plays Minecraft and Ashleigh stops by then Russell makes dinner.  
- This would be: ~(B • E) ⊃ D, which is not the same as (~B • E) ⊃ D.

B. If it's both not the case that Izzy plays Minecraft and Ashleigh stops by then Russell makes dinner.  
- This matches (~B • E) ⊃ D.

C. Izzy playing Minecraft and Ashleigh stopping by entails that Russell makes dinner.  
- This would be (B • E) ⊃ D, which is not the same.

D. Russell's making dinner is a sufficient condition for Izzy not playing Minecraft and Ashleigh stopping by.  
- This would be D ⊃ (~B • E), which is the converse.

Therefore, the correct answer is B.

```json
{""answer"": ""B""}
```",B,B,True,gpt-4.1-2025-04-14
MMLU_ARRANGED_GROUP_001,MMLU_business_ethics_AccordingToEvan_0096,"According to Evan and Freeman (1993), the Principle of ________ and the Principle of _______ can be used in a specific situation to determine who constitutes a _______.","A. Corporate rights, Corporate effect, Stakeholder\nB. Corporate deniability, Corporate effect, Stakeholder\nC. Corporate rights, Corporate responsibility, Stakeholder\nD. Corporate rights, Corporate effect, Shareholder",188,"Let's break down the question:

Evan and Freeman (1993) are well-known for their work on stakeholder theory. In their work, they discuss principles that help determine who is a stakeholder.

The two principles are:
1. The Principle of Corporate Rights: The corporation and its managers may not violate the legitimate rights of others.
2. The Principle of Corporate Effect: The corporation is responsible for the effects of its actions on others.

These two principles are used to determine who constitutes a stakeholder.

Now, let's look at the options:

A. Corporate rights, Corporate effect, Stakeholder  
B. Corporate deniability, Corporate effect, Stakeholder  
C. Corporate rights, Corporate responsibility, Stakeholder  
D. Corporate rights, Corporate effect, Shareholder  

Option A matches both principles and the correct term ""Stakeholder"" (not ""Shareholder"").

Therefore, the answer is:

```json
{""answer"": ""A""}
```",A,A,True,gpt-4.1-2025-04-14
MMLU_ARRANGED_GROUP_002,MMLU_high_school_mathematics_WhichOfThe_0100,Which of the following points is NOT a solution to both the inequalities y > 9x – 8 and y < – x + 8?,"A. (– 2, 15)\nB. (–1, 5)\nC. (0, 0)\nD. (1, 5)",492,"Let's check each point to see if it satisfies both inequalities:

Inequalities:
1. \( y > 9x - 8 \)
2. \( y < -x + 8 \)

Let's check each option:

A. (–2, 15)
- For \( y > 9x - 8 \):  
  \( 15 > 9(-2) - 8 = -18 - 8 = -26 \) → \( 15 > -26 \) (True)
- For \( y < -x + 8 \):  
  \( 15 < -(-2) + 8 = 2 + 8 = 10 \) → \( 15 < 10 \) (False)

B. (–1, 5)
- For \( y > 9x - 8 \):  
  \( 5 > 9(-1) - 8 = -9 - 8 = -17 \) → \( 5 > -17 \) (True)
- For \( y < -x + 8 \):  
  \( 5 < -(-1) + 8 = 1 + 8 = 9 \) → \( 5 < 9 \) (True)

C. (0, 0)
- For \( y > 9x - 8 \):  
  \( 0 > 9(0) - 8 = 0 - 8 = -8 \) → \( 0 > -8 \) (True)
- For \( y < -x + 8 \):  
  \( 0 < -(0) + 8 = 0 + 8 = 8 \) → \( 0 < 8 \) (True)

D. (1, 5)
- For \( y > 9x - 8 \):  
  \( 5 > 9(1) - 8 = 9 - 8 = 1 \) → \( 5 > 1 \) (True)
- For \( y < -x + 8 \):  
  \( 5 < -(1) + 8 = -1 + 8 = 7 \) → \( 5 < 7 \) (True)

Conclusion:  
Only option A does NOT satisfy both inequalities.

```json
{""answer"": ""A""}
```",A,A,True,gpt-4.1-2025-04-14
MMLU_ARRANGED_GROUP_002,MMLU_international_law_WhatOtherCriteria_0033,What other criteria were imposed by the Badinter Commission on the former Yugoslav republics?,A. The Commission required a commitment to submit disputes to the ICJ\nB. The Commission required a change in boundaries\nC. The Commission required a commitment to human rights and democracy\nD. The Commission required an exchange of ethnic populations,124,"The Badinter Commission was established to provide legal advice on the recognition of the former Yugoslav republics as independent states. One of the main criteria it imposed was that new states must commit to respect human rights, the rights of minorities, and democracy. The Commission did not require a change in boundaries (it actually emphasized the inviolability of existing borders), nor did it require an exchange of ethnic populations. While the Commission did encourage peaceful settlement of disputes, the specific requirement to submit disputes to the ICJ was not a general criterion.

Therefore, the correct answer is C.

{
  ""answer"": ""C""
}",C,C,True,gpt-4.1-2025-04-14
MMLU_ARRANGED_GROUP_002,MMLU_high_school_geography_WhichOneOf_0017,Which one of the following is NOT a characteristic of world cities?,A. World cities contain the headquarters of many transnational corporations.\nB. World cities are well connected to secondary-level world cities.\nC. World cities contain many offices of multinational organizations.\nD. World cities are found only in the northern and western hemispheres.,191,"Let's analyze each option:

A. World cities contain the headquarters of many transnational corporations.
- This is true. World cities like New York, London, and Tokyo are known for hosting the headquarters of many transnational corporations.

B. World cities are well connected to secondary-level world cities.
- This is also true. World cities have strong connections (transport, communication, economic) to other major and secondary cities.

C. World cities contain many offices of multinational organizations.
- This is true as well. World cities often host offices of multinational organizations, including NGOs, international agencies, etc.

D. World cities are found only in the northern and western hemispheres.
- This is NOT true. While many world cities are in the northern and western hemispheres, there are also world cities in the southern and eastern hemispheres (e.g., Sydney, Singapore, Johannesburg).

Therefore, the correct answer is D.

{
  ""answer"": ""D""
}",D,D,True,gpt-4.1-2025-04-14
MMLU_ARRANGED_GROUP_002,"MMLU_global_facts_AsOf2019,_0043","As of 2019, which of the following had the lowest life expectancy?",A. Brazil\nB. China\nC. Mexico\nD. Iran,181,"To answer this question, let's consider the life expectancy in 2019 for each country:

A. Brazil: In 2019, Brazil's life expectancy was around 75 years.
B. China: In 2019, China's life expectancy was about 77 years.
C. Mexico: In 2019, Mexico's life expectancy was about 75 years.
D. Iran: In 2019, Iran's life expectancy was about 76 years.

Comparing these numbers:
- Brazil: ~75
- China: ~77
- Mexico: ~75
- Iran: ~76

Between Brazil and Mexico, both are around 75, but Brazil's is slightly lower (about 75.5 for Mexico, about 75.0 for Brazil). Therefore, Brazil had the lowest life expectancy among the options in 2019.

{
  ""answer"": ""A""
}",A,C,False,gpt-4.1-2025-04-14
MMLU_ARRANGED_GROUP_003,MMLU_high_school_geography_ACityThat_0095,A city that is more than twice as large as the next largest city in a country is called a,A. global city.\nB. world leader city.\nC. megalopolis.\nD. primate city.,160,"To answer this question, let's analyze the options:

A. global city – This refers to a city that is a primary node in the global economic network, not necessarily about its size relative to other cities in the country.
B. world leader city – This is not a standard term in urban geography.
C. megalopolis – This refers to a large urban region formed by the merging of several cities and their suburbs, not about the size of a single city relative to others.
D. primate city – In urban geography, a primate city is defined as a city that is more than twice as large as the next largest city in the country and dominates the country's economic, political, and cultural life.

Therefore, the correct answer is D.

```json
{""answer"": ""D""}
```",D,D,True,gpt-4.1-2025-04-14
MMLU_ARRANGED_GROUP_003,MMLU_high_school_mathematics_HowManyPositive_0024,How many positive integers are factors of 120 and also factors of 40?,A. 4\nB. 8\nC. 2\nD. 1,308,"Let's find the number of positive integers that are factors of both 120 and 40.

First, let's find the prime factorizations:
- 120 = 2^3 × 3^1 × 5^1
- 40 = 2^3 × 5^1

A number that is a factor of both 120 and 40 must divide both numbers. The set of such numbers is the set of positive divisors of the greatest common divisor (GCD) of 120 and 40.

Let's compute the GCD:
- 120 = 2^3 × 3^1 × 5^1
- 40 = 2^3 × 5^1

The GCD is the product of the lowest powers of the common primes:
- For 2: min(3,3) = 3
- For 3: min(1,0) = 0
- For 5: min(1,1) = 1

So, GCD = 2^3 × 5^1 = 8 × 5 = 40

Now, the number of positive divisors of 40:
- 40 = 2^3 × 5^1
- Number of divisors = (3+1) × (1+1) = 4 × 2 = 8

So, the answer is B. 8.

Final answer in JSON format:

{
  ""answer"": ""B""
}",B,B,True,gpt-4.1-2025-04-14
