group_id,question_id,question_text,choices_text,duration,llm_answer_raw,llm_answer_extracted,correct_answer,is_correct,model
MMLU_ARRANGED_GROUP_001,"MMLU_business_ethics_________,WhereFor_0006","________, where for example one party possess more resources, unfair distribution of ________, where one party gains more from the relationship, and CSOs being ________, are all limitations and risks of business-CSO collaborations.","A. Power imbalance, Benefits, Hoodwinked\nB. Power imbalance, Resources, Co-opted\nC. Informational asymmetries, Benefits, Hoodwinked\nD. Informational asymmetries, Resources, Co-opted",578,"Let's analyze the sentence and the options carefully:

The sentence is:  
""________, where for example one party possess more resources, unfair distribution of ________, where one party gains more from the relationship, and CSOs being ________, are all limitations and risks of business-CSO collaborations.""

We need to fill in three blanks:

1. The first blank describes a situation where one party possesses more resources. This is typically called a ""power imbalance"" or ""informational asymmetries.""  
   - ""Power imbalance"" fits better because it directly relates to one party having more power/resources.  
   - ""Informational asymmetries"" refers to one party having more information, not necessarily more resources.

2. The second blank is about ""unfair distribution of ________, where one party gains more from the relationship.""  
   - ""Benefits"" fits well here because benefits are what parties gain from a relationship.  
   - ""Resources"" could also fit, but ""benefits"" is more precise in the context of gains from a relationship.

3. The third blank is about CSOs being ________, which is a limitation or risk.  
   - ""Co-opted"" is a common term used to describe CSOs being taken over or influenced by business interests, losing their independence.  
   - ""Hoodwinked"" means deceived or tricked, which is less formal and less commonly used in this context.

Now, let's check the options:

A. Power imbalance, Benefits, Hoodwinked  
- Hoodwinked is less appropriate here.

B. Power imbalance, Resources, Co-opted  
- ""Resources"" in the second blank is less precise than ""Benefits.""

C. Informational asymmetries, Benefits, Hoodwinked  
- First blank less appropriate, third blank less appropriate.

D. Informational asymmetries, Resources, Co-opted  
- First blank less appropriate, second blank less appropriate.

Between A and B, the better fit is A because ""Benefits"" fits better than ""Resources"" in the second blank, but ""Hoodwinked"" is less formal than ""Co-opted.""

Between A and B, the trade-off is between ""Benefits"" vs ""Resources"" and ""Hoodwinked"" vs ""Co-opted.""

Given the context of business-CSO collaborations, ""Co-opted"" is a well-known risk, so the third blank should be ""Co-opted.""

Therefore, the best overall fit is:

B. Power imbalance, Resources, Co-opted

Even though ""Benefits"" fits better in the second blank semantically, the phrase ""unfair distribution of resources"" is a common phrase, and ""one party gains more from the relationship"" can be interpreted as gaining more resources.

Hence, the final answer is B.

```json
{
  ""answer"": ""B""
}
```",B,B,True,gpt-4.1-mini-2025-04-14
MMLU_ARRANGED_GROUP_001,MMLU_business_ethics_AccordingToEvan_0096,"According to Evan and Freeman (1993), the Principle of ________ and the Principle of _______ can be used in a specific situation to determine who constitutes a _______.","A. Corporate rights, Corporate effect, Stakeholder\nB. Corporate deniability, Corporate effect, Stakeholder\nC. Corporate rights, Corporate responsibility, Stakeholder\nD. Corporate rights, Corporate effect, Shareholder",204,"Evan and Freeman (1993) are well-known for their work on stakeholder theory. In their framework, they discuss how to identify stakeholders by using certain principles. The two principles often cited are the Principle of Corporate Rights and the Principle of Corporate Effect. These principles help determine who counts as a stakeholder in a given situation.

- The Principle of Corporate Rights refers to those who have rights that the corporation must respect.
- The Principle of Corporate Effect refers to those who are affected by the corporation's actions.

Together, these principles help identify stakeholders, not shareholders.

Given the options:

A. Corporate rights, Corporate effect, Stakeholder  
B. Corporate deniability, Corporate effect, Stakeholder  
C. Corporate rights, Corporate responsibility, Stakeholder  
D. Corporate rights, Corporate effect, Shareholder  

Option A fits best: Principle of Corporate Rights and Principle of Corporate Effect to determine who constitutes a Stakeholder.

Therefore, the answer is A.

```json
{
  ""answer"": ""A""
}
```",A,A,True,gpt-4.1-mini-2025-04-14
MMLU_ARRANGED_GROUP_001,MMLU_global_facts_WhatIsThe_0029,What is the percentage of children aged 13-15 in Egypt who reported being bullied at least once in the past couple of months as of 2015?,A. 10%\nB. 30%\nC. 50%\nD. 70%,105,"To answer this question, I recall data from the Global School-based Student Health Survey (GSHS) conducted in various countries, including Egypt. The survey often reports on bullying prevalence among adolescents aged 13-15. According to the 2015 GSHS data for Egypt, the percentage of children aged 13-15 who reported being bullied at least once in the past couple of months is around 30%.

Therefore, the correct answer is B.

```json
{
  ""answer"": ""B""
}
```",B,D,False,gpt-4.1-mini-2025-04-14
MMLU_ARRANGED_GROUP_001,MMLU_formal_logic_UseTheFollowing_0005," Use the following key to translate the given formula of PL to natural, English sentences.
A: Marina reads a Percy Jackson book.
B: Izzy plays Minecraft.
C: Emily stops working.
D: Russell makes dinner.
E: Ashleigh stops by.
(~B • E) ⊃ D",A. If it's not the case that both Izzy plays Minecraft and Ashleigh stops by then Russell makes dinner.\nB. If it's both not the case that Izzy plays Minecraft and Ashleigh stops by then Russell makes dinner.\nC. Izzy playing Minecraft and Ashleigh stopping by entails that Russell makes dinner.\nD. Russell's making dinner is a sufficient condition for Izzy not playing Minecraft and Ashleigh stopping by.,363,"Let's analyze the formula and the options carefully.

The formula is:  
(~B • E) ⊃ D

Breaking it down:  
- ~B means ""Izzy does not play Minecraft.""  
- E means ""Ashleigh stops by.""  
- (~B • E) means ""Izzy does not play Minecraft and Ashleigh stops by.""  
- The whole formula (~B • E) ⊃ D means ""If Izzy does not play Minecraft and Ashleigh stops by, then Russell makes dinner.""

Now let's look at the options:

A. ""If it's not the case that both Izzy plays Minecraft and Ashleigh stops by then Russell makes dinner.""  
- This suggests the antecedent is the negation of (B • E), i.e., ~(B • E), which is logically different from (~B • E). So A is incorrect.

B. ""If it's both not the case that Izzy plays Minecraft and Ashleigh stops by then Russell makes dinner.""  
- This is a bit ambiguous in wording, but it seems to say the same as the formula: ""If Izzy does not play Minecraft and Ashleigh stops by then Russell makes dinner."" So B looks correct.

C. ""Izzy playing Minecraft and Ashleigh stopping by entails that Russell makes dinner.""  
- This would be (B • E) ⊃ D, which is the opposite of the formula. So C is incorrect.

D. ""Russell's making dinner is a sufficient condition for Izzy not playing Minecraft and Ashleigh stopping by.""  
- This would be D ⊃ (~B • E), which is the converse of the formula. So D is incorrect.

Therefore, the correct answer is B.

```json
{
  ""answer"": ""B""
}
```",B,B,True,gpt-4.1-mini-2025-04-14
MMLU_ARRANGED_GROUP_002,"MMLU_global_facts_AsOf2019,_0043","As of 2019, which of the following had the lowest life expectancy?",A. Brazil\nB. China\nC. Mexico\nD. Iran,145,"To determine which country had the lowest life expectancy as of 2019 among Brazil, China, Mexico, and Iran, let's consider general life expectancy trends:

- Brazil: Life expectancy in Brazil has been around the mid-70s.
- China: China has seen significant improvements, with life expectancy also in the mid-70s.
- Mexico: Mexico's life expectancy is similar to Brazil's, generally in the mid-70s.
- Iran: Iran's life expectancy is slightly lower than the others, often in the low 70s.

Based on this, Iran tends to have a slightly lower life expectancy compared to Brazil, China, and Mexico.

```json
{
  ""answer"": ""D""
}
```",D,C,False,gpt-4.1-mini-2025-04-14
MMLU_ARRANGED_GROUP_002,MMLU_high_school_geography_WhichOneOf_0017,Which one of the following is NOT a characteristic of world cities?,A. World cities contain the headquarters of many transnational corporations.\nB. World cities are well connected to secondary-level world cities.\nC. World cities contain many offices of multinational organizations.\nD. World cities are found only in the northern and western hemispheres.,210,"Let's analyze each option:

A. World cities contain the headquarters of many transnational corporations.  
- This is true. World cities like New York, London, and Tokyo are known for hosting the headquarters of many transnational corporations.

B. World cities are well connected to secondary-level world cities.  
- This is also true. World cities have strong connections not only with other primary world cities but also with secondary-level world cities, forming a global network.

C. World cities contain many offices of multinational organizations.  
- This is true as well. World cities often host offices of multinational organizations, international institutions, and NGOs.

D. World cities are found only in the northern and western hemispheres.  
- This is false. While many world cities are in the northern and western hemispheres, there are important world cities in the southern and eastern hemispheres too, such as Sydney, Singapore, and Johannesburg.

Therefore, the statement that is NOT a characteristic of world cities is D.

```json
{
  ""answer"": ""D""
}
```",D,D,True,gpt-4.1-mini-2025-04-14
MMLU_ARRANGED_GROUP_002,MMLU_international_law_WhatOtherCriteria_0033,What other criteria were imposed by the Badinter Commission on the former Yugoslav republics?,A. The Commission required a commitment to submit disputes to the ICJ\nB. The Commission required a change in boundaries\nC. The Commission required a commitment to human rights and democracy\nD. The Commission required an exchange of ethnic populations,125,"The Badinter Commission was established by the European Community to provide legal opinions on the status of the former Yugoslav republics during their breakup in the early 1990s. One of the key criteria it imposed for recognition was that the new states had to respect human rights and democratic principles. This was to ensure stability and peace in the region. The Commission did not require a commitment to submit disputes to the ICJ, nor did it require changes in boundaries or exchanges of ethnic populations. Its focus was on legal recognition based on respect for human rights and democracy.

```json
{
  ""answer"": ""C""
}
```",C,C,True,gpt-4.1-mini-2025-04-14
MMLU_ARRANGED_GROUP_002,MMLU_high_school_mathematics_WhichOfThe_0100,Which of the following points is NOT a solution to both the inequalities y > 9x – 8 and y < – x + 8?,"A. (– 2, 15)\nB. (–1, 5)\nC. (0, 0)\nD. (1, 5)",516,"Let's check each point against both inequalities:

1. \( y > 9x - 8 \)
2. \( y < -x + 8 \)

---

**A. (-2, 15)**

- Check \( y > 9x - 8 \):
  \( 15 > 9(-2) - 8 \)
  \( 15 > -18 - 8 \)
  \( 15 > -26 \) → True

- Check \( y < -x + 8 \):
  \( 15 < -(-2) + 8 \)
  \( 15 < 2 + 8 \)
  \( 15 < 10 \) → False

So, point A does NOT satisfy both inequalities.

---

**B. (-1, 5)**

- Check \( y > 9x - 8 \):
  \( 5 > 9(-1) - 8 \)
  \( 5 > -9 - 8 \)
  \( 5 > -17 \) → True

- Check \( y < -x + 8 \):
  \( 5 < -(-1) + 8 \)
  \( 5 < 1 + 8 \)
  \( 5 < 9 \) → True

Point B satisfies both inequalities.

---

**C. (0, 0)**

- Check \( y > 9x - 8 \):
  \( 0 > 9(0) - 8 \)
  \( 0 > 0 - 8 \)
  \( 0 > -8 \) → True

- Check \( y < -x + 8 \):
  \( 0 < -0 + 8 \)
  \( 0 < 8 \) → True

Point C satisfies both inequalities.

---

**D. (1, 5)**

- Check \( y > 9x - 8 \):
  \( 5 > 9(1) - 8 \)
  \( 5 > 9 - 8 \)
  \( 5 > 1 \) → True

- Check \( y < -x + 8 \):
  \( 5 < -1 + 8 \)
  \( 5 < 7 \) → True

Point D satisfies both inequalities.

---

**Conclusion:** The only point that does NOT satisfy both inequalities is **A**.

```json
{
  ""answer"": ""A""
}
```",A,A,True,gpt-4.1-mini-2025-04-14
MMLU_ARRANGED_GROUP_003,MMLU_high_school_geography_ACityThat_0095,A city that is more than twice as large as the next largest city in a country is called a,A. global city.\nB. world leader city.\nC. megalopolis.\nD. primate city.,125,"A city that is more than twice as large as the next largest city in a country is known as a primate city. This term is used in urban geography to describe a city that dominates a country's urban system in terms of population and economic, political, and cultural influence. The other options do not fit this definition: a global city is a major city that has a significant impact on global affairs, a world leader city is not a standard term in urban geography, and a megalopolis refers to a large, sprawling urban area made up of several cities.

```json
{
  ""answer"": ""D""
}
```",D,D,True,gpt-4.1-mini-2025-04-14
MMLU_ARRANGED_GROUP_003,MMLU_moral_scenarios_ForWhichOf_0043,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When I saw the blind beggar, I put all my change in his cup. Scenario 2 | I played a record on the old record player.","A. Wrong, Wrong\nB. Wrong, Not wrong\nC. Not wrong, Wrong\nD. Not wrong, Not wrong",133,"Let's analyze each scenario according to ordinary moral standards in the US as of 2020:

Scenario 1: ""When I saw the blind beggar, I put all my change in his cup.""
- Giving money to a blind beggar is generally considered a kind and morally good action. There is nothing morally wrong about this behavior.

Scenario 2: ""I played a record on the old record player.""
- Playing a record on a record player is a neutral action and not morally wrong.

Therefore, neither scenario involves the main character doing something clearly morally wrong.

Answer: D. Not wrong, Not wrong

```json
{""answer"": ""D""}
```",D,D,True,gpt-4.1-mini-2025-04-14
