group_id,question_id,question_text,choices_text,duration,llm_answer_raw,llm_answer_extracted,correct_answer,is_correct,model
MMLU_ARRANGED_GROUP_001,"MMLU_business_ethics_________,WhereFor_0006","________, where for example one party possess more resources, unfair distribution of ________, where one party gains more from the relationship, and CSOs being ________, are all limitations and risks of business-CSO collaborations.","A. Power imbalance, Benefits, Hoodwinked\nB. Power imbalance, Resources, Co-opted\nC. Informational asymmetries, Benefits, Hoodwinked\nD. Informational asymmetries, Resources, Co-opted",791.0,"{""answer"":""A""}",A,B,False,o4-mini-2025-04-16
MMLU_ARRANGED_GROUP_001,MMLU_formal_logic_UseTheFollowing_0005," Use the following key to translate the given formula of PL to natural, English sentences.
A: Marina reads a Percy Jackson book.
B: Izzy plays Minecraft.
C: Emily stops working.
D: Russell makes dinner.
E: Ashleigh stops by.
(~B • E) ⊃ D",A. If it's not the case that both Izzy plays Minecraft and Ashleigh stops by then Russell makes dinner.\nB. If it's both not the case that Izzy plays Minecraft and Ashleigh stops by then Russell makes dinner.\nC. Izzy playing Minecraft and Ashleigh stopping by entails that Russell makes dinner.\nD. Russell's making dinner is a sufficient condition for Izzy not playing Minecraft and Ashleigh stopping by.,603.0,"Here, “~B • E” reads as “Izzy does not play Minecraft AND Ashleigh stops by.” The whole formula “(~B • E) ⊃ D” means:

“If Izzy does not play Minecraft and Ashleigh stops by, then Russell makes dinner.”

Option B precisely matches this reading.

```json
{""answer"":""B""}
```",B,B,True,o4-mini-2025-04-16
MMLU_ARRANGED_GROUP_001,MMLU_global_facts_WhatIsThe_0029,What is the percentage of children aged 13-15 in Egypt who reported being bullied at least once in the past couple of months as of 2015?,A. 10%\nB. 30%\nC. 50%\nD. 70%,403.0,"Chain of thought:
According to the 2015 Global School-based Student Health Survey (GSHS) data for Egypt, the proportion of students aged 13–15 who reported being bullied on one or more days during the past 30 days was approximately one in three, or about 30%.

{""answer"":""B""}",B,D,False,o4-mini-2025-04-16
MMLU_ARRANGED_GROUP_001,MMLU_business_ethics_AccordingToEvan_0096,"According to Evan and Freeman (1993), the Principle of ________ and the Principle of _______ can be used in a specific situation to determine who constitutes a _______.","A. Corporate rights, Corporate effect, Stakeholder\nB. Corporate deniability, Corporate effect, Stakeholder\nC. Corporate rights, Corporate responsibility, Stakeholder\nD. Corporate rights, Corporate effect, Shareholder",505.0,"Here’s the reasoning:

Evan and Freeman (1993) define stakeholders as those groups or individuals who can affect or are affected by the corporation’s actions. To operationalize this, they introduce two principles:

1. Principle of Corporate Rights – identifying those who have legitimate claims or rights against the corporation  
2. Principle of Corporate Effects – identifying those who are actually affected by the corporation’s operations  

These two principles are used to determine who counts as a stakeholder.

Answer in JSON:  
{""answer"":""A""}",A,A,True,o4-mini-2025-04-16
MMLU_ARRANGED_GROUP_002,MMLU_high_school_geography_WhichOneOf_0017,Which one of the following is NOT a characteristic of world cities?,A. World cities contain the headquarters of many transnational corporations.\nB. World cities are well connected to secondary-level world cities.\nC. World cities contain many offices of multinational organizations.\nD. World cities are found only in the northern and western hemispheres.,439.0,"Chain of thought:
World (or global) cities are major command points in the organization of the world economy. They host headquarters of transnational corporations (A) and offices of multinational organizations (C), and they maintain strong connections with other primary and secondary world cities (B). However, they are not confined to the northern or western hemispheres; significant world cities exist in the southern and eastern hemispheres as well (e.g., Singapore, Sydney, Johannesburg).

```json
{""answer"":""D""}
```",D,D,True,o4-mini-2025-04-16
MMLU_ARRANGED_GROUP_002,MMLU_high_school_mathematics_WhichOfThe_0100,Which of the following points is NOT a solution to both the inequalities y > 9x – 8 and y < – x + 8?,"A. (– 2, 15)\nB. (–1, 5)\nC. (0, 0)\nD. (1, 5)",608.0,"Inequality 1: y > 9x – 8  
Inequality 2: y < –x + 8  

Check each point:

A. (–2, 15)  
 9x – 8 = 9(–2) – 8 = –26 ⇒ 15 > –26 (true)  
 –x + 8 = 2 + 8 = 10 ⇒ 15 < 10 (false)  
⇒ fails the second inequality

B. (–1, 5)  
 9x – 8 = –9 – 8 = –17 ⇒ 5 > –17 (true)  
 –x + 8 = 1 + 8 = 9 ⇒ 5 < 9 (true)

C. (0, 0)  
 9x – 8 = –8 ⇒ 0 > –8 (true)  
 –x + 8 = 8 ⇒ 0 < 8 (true)

D. (1, 5)  
 9x – 8 = 1 ⇒ 5 > 1 (true)  
 –x + 8 = 7 ⇒ 5 < 7 (true)

Only A fails both; all others satisfy both inequalities.

```json
{""answer"":""A""}
```",A,A,True,o4-mini-2025-04-16
MMLU_ARRANGED_GROUP_002,MMLU_international_law_WhatOtherCriteria_0033,What other criteria were imposed by the Badinter Commission on the former Yugoslav republics?,A. The Commission required a commitment to submit disputes to the ICJ\nB. The Commission required a change in boundaries\nC. The Commission required a commitment to human rights and democracy\nD. The Commission required an exchange of ethnic populations,412.0,"Chain of thought:
The Badinter Commission set conditions for EC recognition of the Yugoslav republics: respect for existing borders, a democratic system, and guarantees for human and minority rights. It did not demand boundary changes, population exchanges, or submission of disputes to the ICJ. The key extra criterion was a commitment to human rights and democracy.

{""answer"":""C""}",C,C,True,o4-mini-2025-04-16
MMLU_ARRANGED_GROUP_002,"MMLU_global_facts_AsOf2019,_0043","As of 2019, which of the following had the lowest life expectancy?",A. Brazil\nB. China\nC. Mexico\nD. Iran,223.0,"```json
{
  ""answer"": ""C""
}
```",C,C,True,o4-mini-2025-04-16
MMLU_ARRANGED_GROUP_003,MMLU_high_school_geography_ACityThat_0095,A city that is more than twice as large as the next largest city in a country is called a,A. global city.\nB. world leader city.\nC. megalopolis.\nD. primate city.,151.0,"{""answer"":""D""}",D,D,True,o4-mini-2025-04-16
MMLU_ARRANGED_GROUP_003,MMLU_moral_scenarios_ForWhichOf_0043,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When I saw the blind beggar, I put all my change in his cup. Scenario 2 | I played a record on the old record player.","A. Wrong, Wrong\nB. Wrong, Not wrong\nC. Not wrong, Wrong\nD. Not wrong, Not wrong",195.0,"Chain of thought:
Scenario 1: Giving change to a blind beggar is an act of kindness, not morally wrong.
Scenario 2: Simply playing a record is harmless and not morally wrong.

```json
{""answer"":""D""}
```",D,D,True,o4-mini-2025-04-16
