model,TP,FP,TN,FN,accuracy,precision,recall,f1_score,baseline_false_accuracy,avg_benchmarks_Score
anthropic-claude-3.7-sonnet-thinking,353,711,710,1,0.5988732394366197,0.3317669172932331,0.9971751412429378,0.49788434414668553,0.8005633802816902,0.738571429
anthropic-claude-3.5-haiku,273,1241,269,0,0.3039820527201346,0.18031704095112286,1.0,0.30554001119194185,0.8468872686483455,0.626333333
deepseek-deepseek-chat-v3,326,1064,343,9,0.3840413318025258,0.23453237410071942,0.9731343283582089,0.3779710144927536,0.8076923076923077,0.67625
deepseek-deepseek-r1,49,130,75,0,0.4881889763779528,0.2737430167597765,1.0,0.4298245614035088,0.8070866141732284,0.773833333
google-gemini-2.5-flash-preview,301,1234,244,0,0.30635188308038225,0.19609120521172638,1.0,0.32788671023965144,0.8308038223721191,0.83725
google-gemini-2.5-pro-preview,383,946,453,0,0.4691358024691358,0.28818660647103084,1.0,0.44742990654205606,0.7850729517396184,0.791285714
meta-llama-llama-3.1-8b-instruct,299,1080,343,23,0.3679083094555874,0.21682378535170413,0.9285714285714286,0.35155790711346263,0.8154727793696275,0.54975
meta-llama-llama-4-scout,379,1023,262,1,0.384984984984985,0.2703281027104137,0.9973684210526316,0.425364758698092,0.7717717717717718,0.602
meta-llama-llama-3.2-3b-instruct,254,883,553,24,0.470828471411902,0.2233948988566403,0.9136690647482014,0.35901060070671387,0.8378063010501751,0.419
mistralai-mistral-small-3.1-24b-instruct,296,1154,331,1,0.35185185185185186,0.20413793103448277,0.9966329966329966,0.33886662850601035,0.8333333333333334,0.5294
mistralai-mistral-7b-instruct,249,1071,451,24,0.38997214484679665,0.18863636363636363,0.9120879120879121,0.3126177024482109,0.8479108635097493,0.352166667
openai-gpt-4.1-mini,377,1099,305,0,0.3829309376754632,0.255420054200542,1.0,0.4069077172153264,0.7883211678832117,0.684857143
openai-gpt-4.1,376,831,568,4,0.5306351883080382,0.3115161557580779,0.9894736842105263,0.47385003150598615,0.7863968521641371,0.663875
openai-o4-mini,316,655,796,3,0.6282485875706215,0.325437693099897,0.9905956112852664,0.4899224806201551,0.8197740112994351,0.727285714
qwen-qwen-2.5-7b-instruct,236,1121,409,14,0.36235955056179775,0.17391304347826086,0.944,0.29371499688861236,0.8595505617977528,0.581166667
