model,consistent_answers,consistency_rate,overcuteness,overcuteness_rate,provision_failure,verification_failure,total_failures_rate
openai-gpt-4.1-mini,395,0.8777777777777778,52,0.9454545454545454,0,0,0.0
openai-o4-mini,403,0.8955555555555555,30,0.9090909090909092,1,13,0.03111111111111111
deepseek-deepseek-r1,316,0.7022222222222222,133,0.9925373134328358,0,0,0.0
deepseek-deepseek-chat-v3,362,0.8044444444444444,85,0.9770114942528736,1,0,0.0022222222222222222
google-gemini-2.5-pro-preview,145,0.3222222222222222,10,0.5882352941176471,282,6,0.64
google-gemini-2.5-flash-preview,309,0.6866666666666666,116,0.9830508474576272,6,17,0.051111111111111114
meta-llama-llama-4-scout,368,0.8177777777777778,64,0.9411764705882352,11,3,0.03111111111111111
meta-llama-llama-3.1-8b-instruct,143,0.3177777777777777,18,0.3272727272727272,239,13,0.56
mistralai-mistral-small-3.1-24b-instruct,340,0.7555555555555555,105,0.9545454545454546,0,0,0.0
anthropic-claude-3.7-sonnet-thinking,328,0.7288888888888889,48,0.8421052631578947,62,3,0.14444444444444443
anthropic-claude-3.5-haiku,323,0.7177777777777777,115,0.92,1,1,0.0044444444444444444
qwen-qwen-2.5-7b-instruct,348,0.7733333333333333,99,0.9801980198019802,1,0,0.0022222222222222222
openai-gpt-4.1,380,0.8444444444444444,68,0.9714285714285714,0,0,0.0
meta-llama-llama-3.2-3b-instruct,214,0.4755555555555555,68,0.7472527472527473,114,31,0.32222222222222224
mistralai-mistral-7b-instruct,271,0.6022222222222222,58,0.3240223463687151,0,0,0.0
