model_name,failed_to_order,have_score,correct_individual_answers_count,total_answered_questions,avg_question_order_score,adjusted_avg_question_order_score,group_individual_duration_avg,group_individual_duration_std,group_individual_duration_std_percentage,group_individual_duration_std_percentage_median,combined_duration_avg,combined_duration_std
qwen/qwen-2.5-7b-instruct,3,247,691,1000,0.6005398110661269,0.6078338168685494,292.506,135.98207489945975,0.4478293720885688,0.4360496247746619,308.604,90.84201821344774
google/gemini-2.5-flash-preview,0,250,696,1000,0.6766666666666667,0.6766666666666667,1688.928,2606.1436925518146,0.7930596563680066,0.690026564160924,1284.78,501.74666362401587
google/gemini-2.5-pro-preview,14,236,830,944,0.71045197740113,0.7525974336876378,2738.866740088106,1853.9640568548023,0.5926616029687445,0.5402128472647078,5547.737288135593,2484.729650700809
openai/o4-mini,0,250,861,1000,0.6733333333333332,0.6733333333333332,461.8245798319328,273.3243893668264,0.5333367308246503,0.48809583625167335,960.892,359.80321531498856
openai/gpt-4.1,1,249,883,1000,0.7342704149933065,0.7372192921619543,536.547,714.0482729452445,0.539371979761881,0.4285045590390879,470.2,96.29335199562956
openai/gpt-4.1-mini,0,250,880,1000,0.704,0.704,274.173,167.25231397377038,0.563537618767129,0.5321916839706088,534.992,107.7407267135835
mistralai/mistral-7b-instruct,63,187,504,1000,0.5490196078431372,0.7339834329453706,322.258,288.077790118467,0.5475196204039512,0.515394061556179,333.912,101.62807347022316
mistralai/mistral-small-3.1-24b-instruct,6,244,803,1000,0.5990437158469946,0.6137742990235601,292.021,134.71639696270205,0.4327274650988051,0.402310375461872,338.548,81.36792150843236
anthropic/claude-3.7-sonnet-thinking,20,230,813,920,0.7478260869565218,0.8128544423440454,3233.643665158371,3601.199899529569,0.9955223851572254,1.0238233847577534,4764.221739130435,2595.2801917637244
anthropic/claude-3.5-haiku,0,250,761,1000,0.6746666666666667,0.6746666666666667,259.021,49.99555762547906,0.18905975989459023,0.16975456380820547,279.116,24.311039685756132
meta-llama/llama-4-scout,0,250,851,1000,0.6793333333333332,0.6793333333333332,395.415,145.2048444833118,0.3547398570670077,0.32287457338504844,690.288,112.25149732009106
meta-llama/llama-3.2-3b-instruct,63,187,479,1000,0.5463458110516934,0.730408838304403,447.908,417.0189520009422,0.5567050063874384,0.4547402198980831,274.308,111.74083044597002
meta-llama/llama-3.1-8b-instruct,24,226,567,1000,0.6172566371681416,0.6828060145665283,679.261,774.9743099863707,0.5148931712393093,0.3458522232548711,641.26,1218.970040747911
deepseek/deepseek-chat-v3,0,250,863,1000,0.6653333333333332,0.6653333333333332,254.888,190.14705820675556,0.7081402477053116,0.6909459651577958,298.016,71.68225111209881
deepseek/deepseek-r1,0,250,903,1000,0.7,0.7,860.63,642.3885237532919,0.6278133687117033,0.5828134116731337,2047.544,926.00045541984
